LID	Language	Stock	Category	SlotsN	Partition	HostCat	Position.binned5	Behavior.binned4
2063	Majang	Surmic	S	1	[6]	V	post	NA
2251	Olo	Torricelli	P	3	[4, 1]	V	split	NA
3092	Dogon (Ben Tey)	Dogon	Atr	1	[5]	V	post	NA
559	Murle	Surmic	Atr	6	[6, 3, 1]	V	post	NA
429	Zuni	Zuni	S	2	[1, 1]	V	prae	NA
2862	Chintang	Sino-Tibetan	P	13	[3, 2, 2, 1, 1]	V	post	NA
1775	Kulung	Sino-Tibetan	S	5	[4, 2, 1]	V	post	NA
2172	Nganasan	Uralic	S	2	[9]	V	post	NA
3250	Xingú Asuriní	Tupian	P	1	[2]	V	prae	NA
3261	Tapirapé	Tupian	S	1	[5]	V	prae	NA
337	Quiche	Mayan	P	2	[5]	V	prae	NA
332	Pipil	Uto-Aztecan	Atr	3	[3, 1]	V	prae	NA
1136	Chontal Maya	Mayan	G	5	[2]	V	post	NA
1063	Baure	Arawakan	S	2	[6]	V	prae	NA
2863	Puma	Sino-Tibetan	Atr	8	[4, 3, 1, 1, 1]	V	prae	NA
1645	Anamuxra	Madang	S	4	[9]	V	post	NA
322	Oksapmin	Macro-Ok	T	2	[2]	V	prae	NA
2668	Munsee	Algic	S	8	[2, 2, 2, 2]	V	prae	NA
2031	Mugil	Madang	P	3	[3]	V	prae	NA
2544	Tepehuan (Southeastern)	Uto-Aztecan	Atr	3	[3, 1]	V	post	NA
2028	Manambu	Sepik	P	1	[9]	V	post	NA
2244	Ojibwa (Eastern)	Algic	S	7	[2, 2, 2, 1, 1]	V	post	NA
1750	Kharia	Austroasiatic	S	2	[10]	V	post	NA
2657	Udihe	Tungusic	S	2	[7, 6]	V	post	NA
28	Awtuw	Sepik	Aditr	9	[1, 1]	V	post	NA
674	Limbu	Sino-Tibetan	Atr	12	[2, 2, 1, 1, 1, 1, 1]	V	prae	NA
1136	Chontal Maya	Mayan	T	5	[2]	V	post	NA
2031	Mugil	Madang	T	3	[3]	V	prae	NA
2031	Mugil	Madang	Aditr	3	[4, 1]	V	post	NA
1388	Darmiya	Sino-Tibetan	Atr	1	[3]	V	post	NA
2360	Camling	Sino-Tibetan	P	6	[4, 1, 1, 1, 1, 1]	V	post	NA
28	Awtuw	Sepik	S	9	[1, 1]	V	prae	NA
688	Cora	Uto-Aztecan	G	2	[6]	V	prae	NA
2551	Atikamekw	Algic	Atr	7	[3, 2, 2, 2, 2, 1]	V	post	NA
2244	Ojibwa (Eastern)	Algic	Atr	7	[4, 3, 2, 2, 2]	V	post	NA
35	Belhare	Sino-Tibetan	S	12	[2, 2, 1]	V	post	NA
387	Tuva	Turkic	Atr	3	[6]	V	post	NA
21	Amharic	Semitic	Atr	5	[6, 5, 2]	V	post	NA
2863	Puma	Sino-Tibetan	P	8	[4, 2, 1, 1, 1, 1]	V	post	NA
3042	Tamashek (Burkin Faso)	Berber	Atr	2	[4, 3]	V	prae	NA
25	Armenian (Eastern)	Indo-European	Aditr	1	[6]	V	post	NA
9	Acehnese	Austronesian	P	3	[5]	V	post	final
3018	Alaba-K’abeena	Cushitic	Atr	1	[6]	V	NA	NA
1954	Menya	Angan	Aditr	2	[7]	V	post	NA
2982	Bariai	Austronesian	S	1	[5]	V	prae	NA
2172	Nganasan	Uralic	P	2	[2]	V	post	NA
678	Bulgarian	Indo-European	S	2	[6]	V	post	NA
3044	Gurage (Sebat Bet)	Semitic	T	5	[6]	V	post	NA
1775	Kulung	Sino-Tibetan	P	5	[4, 4, 1, 1]	V	post	NA
908	Athpare	Sino-Tibetan	Atr	10	[2, 2, 2, 1, 1, 1]	V	post	NA
2063	Majang	Surmic	Atr	1	[6]	V	post	NA
3131	Guaraní (Mbyá)	Tupian	P	2	[6, 1]	V	prae	initial
299	Nandi	Nilotic	S	3	[5, 4]	V	prae	NA
388	Tzutujil	Mayan	S	2	[5]	V	prae	NA
645	Hatam	Hatam	Atr	1	[6]	V	prae	NA
2999	Old Thulung (Mukli)	Sino-Tibetan	P	6	[3, 3, 1, 1, 1]	V	post	NA
549	Latvian	Indo-European	S	1	[6]	V	post	NA
1014	Biak	Austronesian	Atr	1	[3]	V	prae	NA
3010	Lohorung	Sino-Tibetan	S	7	[3, 3, 2, 1]	V	post	NA
322	Oksapmin	Macro-Ok	Atr	2	[2]	V	post	NA
2360	Camling	Sino-Tibetan	Atr	6	[2, 2, 1, 1, 1]	V	post	NA
2028	Manambu	Sepik	G	1	[9]	V	post	NA
632	Hayu	Sino-Tibetan	P	5	[3, 2, 2, 1, 1]	V	post	NA
113	Ineseño	Chumashan	Atr	3	[3, 2]	V	prae	NA
2098	Mursi	Surmic	S	3	[5, 1]	V	post	NA
1660	Itzaj	Mayan	P	7	[6, 6]	V	post	NA
2447	Slovene	Indo-European	Atr	1	[7]	V	post	NA
2628	Tobati	Austronesian	Atr	2	[4]	V	prae	NA
637	Yamphu	Sino-Tibetan	P	9	[3, 2, 2, 1, 1, 1, 1]	V	post	NA
2335	Provencal	Indo-European	Aditr	1	[5]	V	post	NA
642	Arabic (Egyptian)	Semitic	Atr	3	[6, 5, 2]	V	prae	NA
340	Russian	Indo-European	Aditr	2	[9]	V	post	NA
518	Brahui	Dravidian	Aditr	2	[6, 5]	V	post	NA
2641	Turkana	Nilotic	S	3	[4, 1]	V	prae	NA
340	Russian	Indo-European	S	2	[9]	V	post	NA
167	Maa	Nilotic	Atr	2	[6, 1]	V	prae	NA
688	Cora	Uto-Aztecan	Aditr	2	[5]	V	prae	NA
2447	Slovene	Indo-European	S	1	[7]	V	post	NA
3040	Tamashek (Mali)	Berber	S	2	[4, 3]	V	prae	NA
571	Tamazight (Ayt Ndhir)	Berber	Atr	2	[4, 3]	V	prae	NA
3007	Bahing	Sino-Tibetan	S	6	[9, 1, 1]	V	post	NA
533	Quechua (Imbabura)	Quechuan	Aditr	2	[5]	V	post	NA
1036	Blackfoot	Algic	P	7	[2, 2, 2, 2, 1, 1]	V	post	NA
885	Amuesha	Arawakan	G	3	[6]	V	post	NA
637	Yamphu	Sino-Tibetan	S	9	[3, 2, 1, 1]	V	post	NA
1155	Cakchiquel	Mayan	P	2	[5]	V	prae	NA
103	Hua	Eastern Highlands	Aditr	3	[3, 3]	V	NA	NA
456	Persian	Indo-European	S	2	[6, 5]	V	NA	NA
1414	Tirmaga	Surmic	Atr	5	[7, 3, 1]	V	post	NA
456	Persian	Indo-European	Atr	2	[6, 5]	V	NA	NA
2869	Yagaria	Eastern Highlands	P	3	[8]	V	post	NA
1416	Dagur	Mongolic	Atr	1	[6]	V	post	NA
1105	Chortí	Mayan	Atr	3	[5, 1]	V	prae	NA
2251	Olo	Torricelli	G	3	[4]	V	split	NA
681	Khanty	Uralic	P	3	[3]	V	post	NA
572	Nahuatl (Tetelcingo)	Uto-Aztecan	Atr	3	[3, 1]	V	post	NA
201	Nanai	Tungusic	Atr	1	[5]	V	post	NA
1413	Chai	Surmic	S	5	[4, 3, 1]	V	post	NA
3007	Bahing	Sino-Tibetan	P	6	[5, 2, 2, 1, 1]	V	post	NA
502	Turkish	Turkic	S	3	[5]	V	post	NA
2999	Old Thulung (Mukli)	Sino-Tibetan	S	6	[2, 2, 1, 1, 1]	V	post	NA
1660	Itzaj	Mayan	Atr	7	[4, 1]	V	split	NA
688	Cora	Uto-Aztecan	P	2	[6]	V	prae	NA
387	Tuva	Turkic	Aditr	3	[5]	V	post	NA
