LID,AUTOTYPLabel,Exponence,Roles,HostCat,Slot,Position.binned5,Behavior.binned4
159,S/A-AGR,Construct;Person;Role;TAM,S;Atr;Aditr,V,NA,NA,NA
502,PAST,TAM,NA,V,NA,post,NA
502,ACC,Role,T;P,,NA,post,final
149,PAST,TAM,NA,,NA,prae,NA
149,ERG,Role,Atr,NP,NA,post,NA
112,GEN,Role,NA,N_or_Pro; Adj,NA,post,NA
112,ACC,Role,P;T;S;G,,NA,post,NA
112,PAST,TAM,NA,,NA,post,NA
515,Pronom. object,Number;Person;Role,P,Pro,NA,post,NA
515,Genitive case?,Role,NA,,NA,prae,NA
515,Pronom. subject,Number;Person;Role,NA,,NA,prae,NA
515,Preposition,Role,NA,,NA,prae,NA
515,DEF,Number;Person;TAM,NA,,NA,NA,NA
515,<none>,,P;Atr;S,,NA,NA,NA
378,<none>,,NA,,NA,prae,NA
378,<none>,,Atr;S;P,,NA,NA,NA
179,ACC,Role,G;T;P,N_or_Pro,NA,post,spreading
179,PAST,TAM,NA,,NA,post,NA
438,ATTR,Role,NA,NP; S,NA,prae,initial
438,Possessive prefix,Number;Person,NA,N_or_Pro; Adj; DEM; Num,NA,prae,NA
438,<none>,,NA,,NA,NA,NA
438,<none>,Role,P;S;Aditr;Atr;T;G,,NA,NA,NA
497,PAST,Tense,NA,S,NA,post,initial
497,<none>,Role,Atr;T;Aditr;P;S;G,,NA,NA,NA
497,POSS,Construct,NA,,NA,NA,NA
501,DSM,Role,NA,,NA,post,final
501,MIRATIVE,TAM,NA,,NA,post,NA
564,PAST,TAM,NA,V,NA,prae,NA
564,AG,Role,NA,N_or_Pro,NA,prae,NA
564,ACC,Role,NA,,NA,prae,NA
564,DAT,Role,NA,,NA,prae,NA
564,POSS-ALIEN,PossSem;Role,NA,,NA,NA,NA
564,POSS-INAL,PossSem;Role,NA,,NA,NA,NA
576,AUX + pers. -no.,Number;Person;TM,NA,V,NA,post,NA
576,AUX + pers. -no.,Number;Person;TAM,NA,,NA,post,NA
576,NOM,Role,P;S;G;Atr;T;Aditr,,NA,NA,NA
576,Possessive suffix,Number;Person,NA,N; Adj,NA,post,NA
501,ATTR,Construct,NA,,NA,NA,NA
89,POSS-AGR,Number;Person;Role,NA,,NA,prae,NA
89,POSS_NOUN,,NA,,NA,NA,NA
384,NOM,Referential;Role,Atr;P;S,N_or_Pro,NA,prae,initial
384,S/A-AGR,Number;Person;Role;TAM,S;Atr;P,V,NA,prae,NA
384,POSS-PRO,Number;Person;Role,NA,N,NA,post,NA
384,GEN,Role,NA,,NA,prae,initial
384,POSS-INAL,Number;PossSem,NA,,NA,post,NA
502,GEN,Role,NA,NP,NA,post,final
501,POSS-AGR,Number;Person;Role,NA,N_or_Pro,NA,post,NA
502,POSS-AGR,Number;Person;Role,NA,NP,NA,post,final
